budget,workload,method,metric,mean,median,p25,p75,n
k64,Summ.,Ada-KV,top1_shift,0.07902966817294556,0.04583303134220934,0.016781647669234595,0.1061494027329204,3072
k64,Summ.,Ada-KV,support_rel_shift,0.44934502818022315,0.4246017884223269,0.1389480484109583,0.7500045693162257,3072
k64,Summ.,DynamicKV,entropy_shift,0.09385530461722087,0.07569167408230264,0.02920076609194655,0.14417123220756106,3072
k64,Summ.,DynamicKV,top5_shift,0.09656287120752925,0.05625203499461373,0.01608078037500152,0.1460884891180324,3072
k64,Summ.,DynamicKV,top1_shift,0.06973545923490411,0.03991540964407103,0.013302983597221582,0.0971239940245709,3072
k64,Summ.,DynamicKV,support_rel_shift,0.46437481233789746,0.45142931131952047,0.17863179326765366,0.7431215799884908,3072
k64,Summ.,SnapKV,entropy_shift,0.09109520460180716,0.07117059010520951,0.02960955855371685,0.13648729687414635,3072
k64,Summ.,SnapKV,top5_shift,0.11674914425868138,0.0638175344717779,0.016500348340495463,0.18191061203857842,3072
k64,Summ.,SnapKV,top1_shift,0.0858900183013087,0.04771342386340825,0.01635470793112212,0.11991438557273594,3072
k64,Summ.,SnapKV,support_rel_shift,0.48411055748043247,0.4771363035886129,0.1811543248393824,0.7896285153828171,3072
k64,Summ.,SurrogateKV-Ada,entropy_shift,0.07438864311461366,0.056429370994215744,0.021740820321593923,0.10873107407024896,3072
k64,Summ.,SurrogateKV-Ada,top5_shift,0.14017014622625593,0.09907917115163589,0.03713085499361393,0.21478013404401805,3072
k64,Summ.,SurrogateKV-Ada,top1_shift,0.10485115813025976,0.07277201349583257,0.028282466197377926,0.1537974332932675,3072
k64,Summ.,SurrogateKV-Ada,support_rel_shift,0.5494671298178347,0.5758139585006266,0.301369416137084,0.8103387634377447,3072
k64,Summ.,SurrogateKV-Ada,js_to_fullkv,0.10454681654087912,0.06241275327192185,0.01992826592979169,0.150582744657965,3072
k64,Summ.,SurrogateKV-Ada,l1_to_fullkv,0.47682535284929445,0.3384602219431776,0.12407558393241433,0.7094935796084876,3072
k64,Summ.,SurrogateKV-Dynamic,entropy_shift,0.0887589238800821,0.06824572762061881,0.026621642966994,0.1353015377693568,3072
